aegislash,groudon,groudon-primal,landorus-t,arceus-ground,zygarde-c,yvektal,arceus-dark,dialga,ferrothron,celesteela,muk-alola,toxapex,necrozma-dusk mane,giratina-origin,lunala,marshadow,arceus-ghost,kyogre-primal,,,,,,,,,
landorus,mega salamence,marshadow,deoxys-a,mewtwo,mega mewtwo x,mega mewtwo y,ultra necrozma,mega gengar,lugia,giratina-origin,celesteela,skarmory,kyogre-primal,chansey,blissey,,,,,,,,,,,,
mega lucario,toxapex,zygarde-c,ho-oh,marshadow,lugia,arceus-ground,mega gengar,arceus-fairy,arceus-fire,arceus-fighting,arceus-water,arceus-flying,mega salamence,,,,,,,,,,,,,,
lugia,necrozma-dusk mane,skarmory,ferrothorn,mega scizor,mega sableye,mega diancie,yveltal,arceus-dark,marshadow,lunala,arceus-ghost,mega gengar,gothitelle,zygade-c,xerneas,arceus-ground,mega lucario,,,,,,,,,,
lunala,arceus-dark,mega sableye,yveltal,tyranitar,mega tyranitar,mega gengar,marshadow,arceus-ghost,ho-oh,chansey,blissey,muk-alola,,,,,,,,,,,,,,,
marshadow,arceus-fairy,xerneas,magearna,arceus-water,arceus-ground,arceus-flying,yveltal,zygrade-c,mega salamence,ho-oh,mega lucario,mega scizor,groudon-primal,toxapex,landorus,mega sableye,ultra necrozma,,,,,,,,,,
mega metagross,skarmory,ferrothorn,groudon-primal,arceus-fire,arceus-ground,arceus-water,kyogre-primal,arceus-water,arceus-dark,arceus-ghost,yveltal,marshadow,giratina-origin,giratina,mega sableye,lunala,,,,,,,,,,,
mewtwo,lunala,necrozma-dusk mane,arceus-ghost,mega gengar,giratina,giratina-origin,yveltal,arceus-dark,lugia,solgaleo,arceus-fairy,xerneas,magearna,muk-alola,groudon-primal,ho-oh,marshadow,pheromosa,deoxys-a,yveltal,genesect,mega scizor,arceus,,,,
mega mewtwo x,,necrozma-dusk mane,arceus-ghost,mega gengar,giratina,giratina-origin,yveltal,arceus-dark,lugia,solgaleo,arceus-fairy,xerneas,magearna,muk-alola,groudon-primal,,marshadow,pheromosa,deoxys-a,yveltal,genesect,mega scizor,,,,,
mega mewtwo y,,necrozma-dusk mane,arceus-ghost,mega gengar,giratina,giratina-origin,yveltal,arceus-dark,lugia,solgaleo,arceus-fairy,xerneas,magearna,muk-alola,groudon-primal,ho-oh,marshadow,pheromosa,deoxys-a,yveltal,genesect,mega scizor,arceus,,,,
naganadel,yveltal,xerneas,necrozma-dusk mane,groudon-primal,kyogre-primal,marshadow,arceus,lugia,ho-oh,,,,,,,,,,,,,,,,,,
necrozma-dawn wings,arceus-dark,yveltal,mega sableye,skarmory,celesteela,arceus-steel,dialga,marshadow,giratina-origin,xerneas,arceus-fairy,arceus-water,arceus-ground,zygade-c,lugia,,,,,,,,,,,,
ultra necrozma,arceus-dark,yveltal,mega sableye,skarmory,celesteela,arceus-steel,dialga,marshadow,giratina-origin,xerneas,arceus-fairy,arceus-water,arceus-ground,zygade-c,lugia,,,,,,,,,,,,
necrozma-dusk mane,arceus-dark,yveltal,mega sableye,ho-oh,zygarde-c,mega gengar,groudon-primal,kyogre-primal,arceus-water,mega slowbro,ferrothorn,dialga,skarmory,celesteela,arceus-steel,marshadow,arceus-ground,arceus-fire,,,,,,,,,
palkia,arceus-fairy,xerneas,mega diancie,magearna,mega salamence,marshadow,mega lucario,deoxys-a,naganadel,ultra necrozma,groudon-primal,blissey,chansey,lugia,,,,,,,,,,,,,
pheromosa,ho-oh,arceus-ghost,mega gengar,mega sableye,marshadow,toxapex,arceus-fairy,xerneas,magearna,skarmory,celesteela,arceus,rayquaza,yveltal,mega lucario,xerneas,,,,,,,,,,,
rayquaza,arceus-fairy,arceus-ground,arceus-rock,arceus-water,arceus-ice,lugia,zygarde-c,tyranitar,mega tyranitar,mega diancie,skarmory,celesteela,marshadow,mega mewtwo y,mega mewtwo x,mewtwo,deoxys-a,mega lucario,mega salamence,mega scizor,,,,,,,
reshiram,chansey,blissey,tyranitar,mega tyranitar,arceus-rock,mega diancie,arceus-rock,arceus-ground,ultra necrozma,mega salamence,kyogre-primal,arceus-water,groudon-primal,zygade-c,ho-oh,,,,,,,,,,,,
mega salamence,celeteela,skarmory,zygarde-c,lugia,necrozma-dusk mane,ultra necrozma,magearna,arceus-water,arceus-ice,arceus-ground,arceus-dragon,arceus-rock,arceus-fairy,groudon-primal,dialga,zekrom,kyogre-primal,giratina-o,mega slowbro,marshadow,,,,,,,
shaymin-sky,ho-oh,mega gengar,ferrothorn,celesteela,necrozma-dusk mane,ultra necrozma,mewtwo,pheromosa,deoxys-a,xerneas,yveltal,marshadow,yveltal,arceus,rayquaza,,,,,,,,,,,,
solgaleo,groudon-primal,arceus-ground,mega gengar,yveltal,arceus-dark,ho-oh,kyogre-primal,arceus-fire,marshadow,arceus-ghost,giratina-origin,giratina,skarmory,celesteela,,,,,,,,,,,,,
xerneas,necrozma-dusk mane,groudon-primal,magearna,klefki,mega scizor,aegislash,ferrothorn,celesteela,ho-oh,lugia,blissey,chansey,arceus,mega lucario,marshadow,deoxys-a,rayquaze,mega gengar,arceus-poison,arceus-steel,,,,,,,
yveltal,arceus-fairy,xerneas,magearna,mega diancie,tyranitar,mega tyranitar,arceus-rock,arceus-dark,ho-oh,mega salamence,mega lucario,arceus-ice,blissey,chansey,mega sableye,tapu koko,zekrom,kyruren-white,,,,,,,,,
zekrom,groudon-primal,arceus-fairy,xerneas,magearna,mega diancie,arceus-ground,arceus-dragon,arceus,mega gengar,mega lucario,mewtwo,mega mewtwo x,mega mewtwo y,lunala,dialga,ferrothorn,,,,,,,,,,,
zygrade-c,xerneas,magearna,arceus-fairy,arceus-ice,yveltal,lunala,rayquaza,giratina-origin,naganadel,deoxys-a,mega gengar,mewtwo,mega mewtwo x,mega mewtwo y,,,,,,,,,,,,,
zygarde,xerneas,magearna,arceus-fairy,arceus-ice,yveltal,lunala,rayquaza,giratina-origin,naganadel,deoxys-a,mega gengar,mewtwo,mega mewtwo x,mega mewtwo y,,,,,,,,,,,,,
blissey,toxapex,arceus-poison,marshadow,tyranitar,mega tyranitar,muk-alola,skarmory,ferrothorn,celesteela,arceus-steel,mega diancie,mega sableye,,,,,,,,,,,,,,,
buzzwole,yveltal,mega salamence,arceus-flying,ho-oh,rayquaza,xerneas,magearna,arceus-fairy,mega diancie,mega sableye,mega gengar,giratina,giratina-origin,ultra necrozma,deoxys-a,mewtwo,mega mewtwo y,tape lele,toxapex,kyogre-primal,groudon-primal,gothitelle,,,,,
celesteela,ho-oh,groudon-primal,arceus-fire,naganadel,rayquaza,mega sableye,mega gengar,gothitelle,yveltal,kyogre-primal,palkia,mega lucario,necrozma-dusk mane,ferrothorn,zygarde-c,zekrom,arceus-electric,,,,,,,,,,
chansey,dugtrio,gothitelle,mega gengar,marshadow,mega lucario,mega blaziken,mega mewtwo x,mega salamence,ho-oh,necrozma-dusk mane,groudon-primal,arceus,mega sableye,naganadel,giratina,zygarde-c,celesteela,ferrothorn,magearna,yveltal,deoxys-a,landrorus,muk-alola,,,,
cloyster,arceus-water,arceus-ice,arceus-rock,arceus-dark,arceus-fairy,arceus-fire,arceus-steel,smeargle,mega sableye,tyranitar,mega tyranitar,mega kangaskhan,yveltal,xerneas,kyogre-primal,palkia,dialga,mega gengar,mega lucario,magearna,necrozma-dusk mane,,,,,,
mega diancie,celeteela,ferrothorn,mega scizor,mega lucario,arceus-ground,groudon,groudon-primal,kyogre-primal,arceus-water,arceus-fairy,chansey,marshadow,ultra necrozma,xerneas,,,,,,,,,,,,,
ditto,arceus-dark,arceus-electic,arceus-flying,arceus-fairy,arceus-ground,zygarde-c,arceus,marshadow,ho-oh,ultra necrozma,mega lucario,,,,,,,,,,,,,,,,
dugtrio,yveltal,ho-oh,arceus-flying,marshadow,mega gengar,ultra necrozma,rayquaza,mega scizor,mega lucario,arceus-ground,arceus-water,arceus-dark,arceus-dragon,arceus-fairy,arceus-grass,,,,,,,,,,,,
exacdrill,cloyster,zygarde-c,mega salamance,ferrothorn,skarmory,lunala,,,,,,,,,,,,,,,,,,,,,
ferrothorn,groudon-primal,ho-oh,mega blaziken,blaziken,marshadow,mega lucario,mega mewtwo x,mega mewtwo y,naganadel,dialga,palkia,ultra necrozma,mega gengar,lunala,mewtwo,deoxys-a,mega sableye,gothitelle,giratina,mega scizor,yveltal,,,,,,
gothitelle,tyranitar,mega tyranitar,muk-alola,marshadow,groudon-primal,kyogre-primal,mega salamence,ho-oh,yveltal,arceus-dark,mega gengar,arceus-ghost,magearna,mega scizor,lugia,zygarde-c,,,,,,,,,,,
gothorita,tyranitar,mega tyranitar,muk-alola,marshadow,groudon-primal,kyogre-primal,mega salamence,ho-oh,yveltal,arceus-dark,mega gengar,arceus-ghost,magearna,mega scizor,lugia,zygarde-c,,,,,,,,,,,
mega gyarados,xerneas,arceus-fairy,magearna,zygarde-c,mega salamence,groudon-primal,yveltal,ferrothorn,zekrom,rayquaza,arceus,,,,,,,,,,,,,,,,
klefki,ho-oh,groudon-primal,arceus-ground,zygarde-c,mega diancie,mega sableye,yveltal,arceus-dark,ferrothron,necrozma-dusk mane,dialga,mega gengar,gothitelle,,,,,,,,,,,,,,
latias,necrozma-dusk mane,ferrothorn,mega scizor,yveltal,arceus-dark,tyranitar,mega tyranitar,muk-alola,marshadow,mega gengar,xerneas,arceus-fairy,mega diancie,magearna,arceus-ghost,gothitelle,chansey,blissey,ho-oh,deoxys-a,arceus-ice,cloyster,naganadel,kyogre-primal,,,
mega latias,necrozma-dusk mane,ferrothorn,mega scizor,yveltal,arceus-dark,tyranitar,mega tyranitar,muk-alola,marshadow,mega gengar,xerneas,arceus-fairy,mega diancie,magearna,arceus-ghost,gothitelle,chansey,blissey,ho-oh,deoxys-a,arceus-ice,cloyster,naganadel,kyogre-primal,,,
mega lopunny,toxapex,arceus-ground,arceus-fairy,arceus-water,zygarde-c,xerneas,lunala,lugia,mega slowbro,mega latias,ho-oh,mega salamence,arceus-flying,arceus-psyhic,mega mewtwo y,yveltal,,,,,,,,,,,
magearna,groudon-primal,arceus-ground,dugtrio,ho-oh,mega blaziken,blaziken,arceus-fire,mega mewtwo y,naganadel,necrozma-dusk mane,ferrothorn,mega scizor,marshadow,mega lucario,arceus-fire,,,,,,,,,,,,
muk-alola,groudon-primal,groudon,zygarde-c,arceus-ground,mega salamence,kyogre-primal,marshadow,arceus,skarmory,ferrothorn,klefki,nercozma-dusk mane,,,,,,,,,,,,,,,
ribombee,excadrill,cloyster,smeargle,mega gengar,necrozma-dusk mane,magearna,ferrothorn,mega scizor,klefki,ho-oh,arceus-fire,groudon-primal,reshiram,,,,,,,,,,,,,,
mega sableye,xerneas,magearna,mega diancie,arceus-fairy,excadrill,mega gyarados,groudon-primal,mega lucario,arceus-ground,rayquaza,kyogre-primal,nercozma-dusk mane,zygarde-c,arceus-dark,arceus-flying,,,,,,,,,,,,
mega scizor,groudon-primal,ho-oh,ferrothorn,skarmory,necrozma-dusk mane,mega lucario,aegislash,solgaleo,dialga,celesteela,naganadel,mewtwo,mega mewtwo y,rayquaza,kyogre-primal,zygarde-c,arceus-ground,arceus-ghost,mega sableye,mega gengar,giratina-origin,arceus-water,lugia,,,,
skarmory,mega gengar,gothitelle,yveltal,mewtwo,mega mewtwo x,mega mewtwo y,mega gyarados,deoxys-s,xerneas,kyogre-primal,lunala,arceus-fire,arceus-electric,mega blaziken,blaziken,mega diancie,mega sableye,mega lucario,marshadow,,,,,,,,
mega slowbro,mega gengar,gothitelle,yveltal,arceus-dark,lunala,giratina-origin,marshadow,arceus-ghost,arceus-electric,ferrothorn,celesteela,mega scizor,klefki,arceus-steel,kyogre-primal,,,,,,,,,,,,
slowbro,mega gengar,gothitelle,yveltal,arceus-dark,lunala,giratina-origin,marshadow,arceus-ghost,arceus-electric,ferrothorn,celesteela,mega scizor,klefki,arceus-steel,kyogre-primal,,,,,,,,,,,,
smeargle,yveltal,mega gengar,excadrill,cloyster,mega sableye,mega diancie,mega salamence,giratina-origin,arceus,arceus-ground,tyranitar,mega tyranitar,,,,,,,,,,,,,,,
tapu koko,groudon,groudon-primal,zygrade-c,arceus-ground,deoxys-s,mega mewtwo y,xerneas,marshadow,arceus,rayquaza,mega scizor,mega lucario,ferrothorn,mega venusaur,arceus-grass,arceus-dragon,giratina-origin,dialga,mega sableye,,,,,,,,
tapu lele,necrozma-dusk mane,ferrothorn,celesteela,mega lucario,mega scizor,magearna,ho-oh,mega gengar,kyogre-primal,yveltal,arceus-dark,xerneas,,,,,,,,,,,,,,,
toxapex,mega gengar,gothitelle,groudon,groudon-primal,zygarde-c,arceus-ground,excadrill,dugtrio,mega sableye,mega salamence,ultra necrozma,deoxys-a,lunala,mewtwo,mega mewtwo  x,mega mewtwo y,zekrom,arceus-electric,tapu koko,yveltal,kyogre-primal,xerneas,,,,,
tyranitar,groudon-primal,arceus-ground,zygarde-c,xerneas,arceus-fairy,magearna,mega diancie,marshadow,mega lucario,arceus-fighting,skarmory,ferrothorn,celesteela,necrozma-dusk mane,mega sableye,kyogre-primal,arceus-water,,,,,,,,,,
mega tyranitar,groudon-primal,arceus-ground,zygarde-c,xerneas,arceus-fairy,magearna,mega diancie,marshadow,mega lucario,arceus-fighting,skarmory,ferrothorn,celesteela,necrozma-dusk mane,mega sableye,kyogre-primal,arceus-water,,,,,,,,,,
mega venusaur,ferrothorn,necrozma-dusk mane,magearna,mega scizor,mega lucario,mega gengar,gothitelle,ho-oh,yveltal,arceus-flying,mega salamence,rayquaza,shaymin-s,deoxys-a, mewtwo,mega mewtwo y,mega mewtwo x,tape lele,lunala,ultra necrozma,groudon-primal,arceus-ground,arceus-ghost,arceus-dark,naganadel,kyurem-white,
wobbuffet,giratina,giratina-origin,mega gengar,marshadow,arceus-ghost,zygarde-c,arceus-dark,yveltal,necrozma-dusk mane,ultra necrozma,arceus-ground,naganadel,mewtwo,mega mewtwo y,mega mewtwo x,groudon-primal,kyogre-primal,,,,,,,,,,
